Register_No,Batch,Sex,Age,Address,Mother Education,Father Education,Financial Status,SSLC marks,PUC marks,BE_marks,Number of failures,Bad habits,Study time,Activities,Sports,Health,Scholarships
4RA14EE028,14,male,23,Rural,PUC/Diploma,SSLC,Medium,73,61,51,0,No,1,No,Yes,Good,No
4RA14EE029,14,male,23,Urban,PUC/Diploma,PUC/Diploma,Poor,68,65,50,0,Yes,2,Yes,Yes,Poor,No
4RA14EE031,14,male,23,Urban,Degree,PUC/Diploma,Medium,43,40,49,0,No,4,No,Yes,Good,Yes
4RA14EE032,14,female,23,Urban,PUC/Diploma,PUC/Diploma,Poor,63,70,73,0,No,1,No,Yes,Poor,No
4RA14EE033,14,male,23,Urban,SSLC,SSLC,Rich,62,69,58,0,Yes,3,No,Yes,Good,No
4RA14EE034,14,male,23,Urban,PUC/Diploma,Degree,Medium,43,49,57,0,No,4,Yes,Yes,Good,Yes
4RA14EE035,14,female,23,Rural,SSLC,Degree,Medium,68,78,72,0,Yes,5,No,Yes,Poor,Yes
4RA14EE036,14,female,24,Urban,SSLC,PUC/Diploma,Medium,41,34,50,1,No,5,No,No,Good,No
4RA14EE037,14,female,23,Urban,Degree,PUC/Diploma,Medium,58,63,56,0,Yes,4,Yes,Yes,Good,No
4RA14EE038,14,male,23,Rural,PUC/Diploma,SSLC,Medium,50,64,49,0,Yes,1,No,Yes,Good,Yes
4RA14EE039,14,female,24,Rural,Degree,SSLC,Medium,37,28,39,1,Yes,1,No,Yes,Good,Yes
4RA14EE040,14,female,23,Rural,SSLC,SSLC,Medium,54,54,47,0,Yes,1,Yes,No,Good,No
4RA14EE041,14,male,23,Urban,PUC/Diploma,PUC/Diploma,Medium,94,91,83,0,No,3,Yes,Yes,Good,Yes
4RA14EE042,14,female,22,Urban,SSLC,SSLC,Rich,61,57,44,0,No,1,No,No,Good,Yes
4RA14EE043,14,male,23,Rural,SSLC,PUC/Diploma,Medium,44,51,59,0,No,1,No,No,Poor,Yes
4RA14EE044,14,male,23,Rural,PUC/Diploma,SSLC,Rich,68,54,48,0,No,2,Yes,No,Good,No
4RA14EE045,14,male,24,Urban,SSLC,SSLC,Medium,44,44,46,0,Yes,3,No,No,Good,No
4RA14EE046,14,female,23,Rural,PUC/Diploma,Degree,Poor,63,64,52,0,Yes,3,Yes,Yes,Good,No
4RA14EE047,14,male,23,Urban,SSLC,PUC/Diploma,Medium,85,84,71,0,No,2,No,No,Good,No
4RA14EE048,14,male,23,Urban,PUC/Diploma,SSLC,Rich,84,92,83,0,No,5,Yes,No,Poor,No
4RA14EE049,14,female,23,Rural,SSLC,Degree,Medium,64,62,65,0,No,1,No,No,Good,No
4RA14EE050,14,male,23,Rural,PUC/Diploma,SSLC,Medium,63,77,78,0,Yes,5,Yes,Yes,Good,No
4RA14EE051,14,female,23,Urban,PUC/Diploma,PUC/Diploma,Poor,80,69,62,0,Yes,5,No,Yes,Poor,No
4RA14EE052,14,female,23,Rural,PUC/Diploma,PUC/Diploma,Poor,64,59,69,0,Yes,1,Yes,Yes,Good,Yes
4RA14EE053,14,female,24,Rural,SSLC,SSLC,Medium,45,32,54,1,No,4,No,No,Good,Yes
4RA14EE054,14,female,23,Rural,PUC/Diploma,PUC/Diploma,Medium,61,53,45,0,No,5,Yes,Yes,Good,No
4RA14EE055,14,female,24,Urban,SSLC,SSLC,Medium,52,40,30,1,No,2,No,No,Poor,Yes
4RA14EE056,14,male,23,Rural,Degree,PUC/Diploma,Medium,75,74,67,0,No,1,No,Yes,Good,No
4RA14EE057,14,male,23,Rural,SSLC,SSLC,Medium,67,82,78,0,No,5,No,Yes,Good,No
4RA14EE058,14,male,23,Rural,Degree,SSLC,Medium,94,84,69,0,Yes,4,Yes,Yes,Good,Yes
4RA14EE059,14,male,23,Urban,SSLC,SSLC,Medium,66,55,67,0,Yes,1,Yes,No,Good,Yes
4RA14EE060,14,female,23,Urban,SSLC,PUC/Diploma,Medium,89,84,80,0,Yes,5,Yes,No,Poor,No
4RA14EE061,14,female,25,Rural,SSLC,Degree,Medium,34,27,37,2,Yes,4,Yes,No,Good,No
4RA14EE062,14,female,23,Rural,PUC/Diploma,PUC/Diploma,Medium,75,69,61,0,No,3,No,Yes,Good,Yes
4RA14EE063,14,male,23,Rural,SSLC,Degree,Rich,52,57,46,0,No,3,No,Yes,Poor,No
4RA14EE064,14,female,23,Urban,SSLC,PUC/Diploma,Rich,95,80,76,0,No,1,No,No,Poor,Yes
4RA14EE065,14,female,23,Rural,Degree,SSLC,Medium,95,87,78,0,No,4,Yes,No,Good,Yes
4RA14EE066,14,female,23,Rural,PUC/Diploma,PUC/Diploma,Poor,56,52,65,0,Yes,3,No,Yes,Good,Yes
4RA14EE068,14,male,23,Rural,Degree,SSLC,Medium,56,69,82,0,No,2,Yes,Yes,Good,No
4RA14EE069,14,male,23,Urban,PUC/Diploma,SSLC,Medium,78,72,69,0,Yes,5,No,No,Good,Yes
4RA14EE070,14,male,23,Urban,SSLC,Degree,Medium,94,85,75,0,No,3,Yes,No,Good,No
4RA14EE071,14,female,23,Urban,SSLC,SSLC,Medium,53,60,53,0,No,3,No,No,Good,Yes
4RA14EE072,14,male,24,Urban,SSLC,SSLC,Poor,33,51,64,1,No,4,Yes,No,Good,No
4RA14EE073,14,male,23,Urban,PUC/Diploma,PUC/Diploma,Medium,67,55,44,0,Yes,2,Yes,No,Good,No
4RA14EE074,14,female,23,Urban,SSLC,PUC/Diploma,Rich,55,45,52,0,Yes,4,Yes,No,Good,Yes
4RA14EE075,14,female,24,Rural,SSLC,Degree,Medium,34,46,38,1,Yes,1,No,No,Poor,No
4RA14IS001,14,male,23,Urban,SSLC,PUC/Diploma,Poor,88,82,80,0,Yes,5,No,No,Good,Yes
4RA14IS002,14,female,24,Urban,SSLC,SSLC,Medium,41,27,54,1,No,3,No,Yes,Poor,Yes
4RA14IS003,14,male,23,Rural,Degree,PUC/Diploma,Medium,81,93,73,0,No,3,Yes,No,Good,No
4RA14IS004,14,male,23,Urban,Degree,PUC/Diploma,Rich,50,62,65,0,No,3,Yes,No,Good,No
4RA14IS006,14,male,23,Urban,PUC/Diploma,Degree,Medium,86,82,71,0,No,3,No,Yes,Good,Yes
4RA14IS007,14,female,23,Rural,Degree,PUC/Diploma,Medium,81,77,62,0,No,4,No,No,Poor,Yes
4RA14IS009,14,male,24,Rural,Degree,SSLC,Medium,38,33,52,1,Yes,2,No,Yes,Good,No
4RA14IS010,14,male,23,Rural,SSLC,PUC/Diploma,Poor,49,43,53,0,Yes,1,Yes,Yes,Good,No
4RA14IS011,14,female,23,Rural,SSLC,SSLC,Poor,42,36,51,0,No,3,No,No,Poor,Yes
4RA14IS012,14,male,23,Rural,Degree,Degree,Medium,95,84,69,0,No,5,Yes,No,Good,Yes
4RA14IS013,14,female,23,Rural,SSLC,PUC/Diploma,Poor,73,87,86,0,Yes,1,No,No,Good,Yes
4RA14IS014,14,female,23,Urban,SSLC,PUC/Diploma,Poor,63,62,60,0,Yes,4,No,Yes,Good,Yes
4RA14IS015,14,female,23,Urban,Degree,PUC/Diploma,Medium,92,89,79,0,No,5,Yes,No,Good,Yes
4RA14IS016,14,female,23,Urban,PUC/Diploma,SSLC,Medium,83,69,63,0,No,3,No,No,Poor,No
4RA14IS017,14,male,23,Rural,SSLC,Degree,Medium,88,78,72,0,Yes,3,No,No,Poor,Yes
4RA14IS018,14,male,23,Rural,PUC/Diploma,SSLC,Poor,96,91,78,0,Yes,2,Yes,No,Good,Yes
4RA14IS019,14,female,23,Urban,SSLC,PUC/Diploma,Rich,62,68,66,0,No,3,No,No,Poor,Yes
4RA14IS020,14,male,23,Urban,PUC/Diploma,SSLC,Rich,76,62,61,0,Yes,4,Yes,No,Poor,No
4RA14IS021,14,male,23,Urban,SSLC,SSLC,Rich,55,67,64,0,No,4,Yes,Yes,Good,No
4RA14IS022,14,male,23,Urban,SSLC,Degree,Poor,79,82,77,0,Yes,3,No,No,Good,Yes
4RA14IS023,14,female,23,Rural,SSLC,PUC/Diploma,Rich,90,77,63,0,Yes,3,Yes,Yes,Good,Yes
4RA14IS024,14,female,23,Rural,SSLC,PUC/Diploma,Medium,74,77,72,0,No,5,No,Yes,Good,No
4RA14IS025,14,female,23,Urban,PUC/Diploma,SSLC,Rich,88,86,69,0,Yes,1,No,No,Good,No
4RA14IS026,14,male,24,Rural,PUC/Diploma,PUC/Diploma,Poor,39,40,33,1,No,5,Yes,Yes,Good,Yes
4RA14IS027,14,male,25,Urban,PUC/Diploma,Degree,Poor,36,32,28,2,No,2,Yes,No,Good,No
4RA14IS028,14,female,24,Urban,PUC/Diploma,Degree,Medium,43,32,49,1,Yes,5,Yes,No,Good,No
4RA14IS029,14,male,23,Urban,SSLC,SSLC,Medium,44,56,42,0,Yes,1,No,No,Good,Yes
4RA14IS030,14,female,23,Urban,PUC/Diploma,PUC/Diploma,Medium,65,70,64,0,Yes,5,No,No,Good,No
4RA14IS032,14,male,23,Urban,SSLC,Degree,Medium,64,55,46,0,No,2,No,Yes,Good,Yes
4RA14IS033,14,female,23,Urban,SSLC,PUC/Diploma,Rich,92,92,71,0,Yes,1,No,Yes,Good,Yes
4RA14IS034,14,female,23,Rural,SSLC,PUC/Diploma,Medium,85,74,80,0,Yes,2,Yes,No,Good,Yes
4RA14IS035,14,male,23,Rural,PUC/Diploma,PUC/Diploma,Poor,62,63,67,0,Yes,5,No,No,Good,No
4RA14IS036,14,male,23,Rural,PUC/Diploma,PUC/Diploma,Medium,68,58,56,0,No,4,Yes,Yes,Poor,No
4RA14IS037,14,female,24,Rural,PUC/Diploma,PUC/Diploma,Rich,36,28,54,1,Yes,2,Yes,No,Poor,No
4RA14IS038,14,female,24,Urban,SSLC,PUC/Diploma,Rich,34,54,62,1,No,1,No,No,Poor,No
4RA14IS039,14,male,23,Urban,SSLC,Degree,Medium,56,51,47,0,Yes,1,Yes,Yes,Good,Yes
4RA14IS040,14,female,23,Rural,Degree,Degree,Poor,39,38,48,0,No,2,No,Yes,Good,Yes
4RA14IS041,14,male,23,Rural,PUC/Diploma,PUC/Diploma,Poor,75,83,79,0,Yes,5,Yes,No,Good,No
4RA14IS042,14,male,23,Rural,SSLC,SSLC,Medium,72,77,81,0,Yes,1,No,Yes,Good,Yes
4RA14IS043,14,male,23,Rural,SSLC,Degree,Medium,56,60,62,0,No,4,No,Yes,Good,No
4RA14IS044,14,female,23,Rural,PUC/Diploma,PUC/Diploma,Medium,86,80,72,0,Yes,3,Yes,No,Good,No
4RA14IS046,14,male,23,Rural,SSLC,PUC/Diploma,Poor,88,91,81,0,Yes,5,No,Yes,Poor,No
4RA14IS047,14,male,23,Rural,PUC/Diploma,SSLC,Medium,91,82,82,0,Yes,5,No,No,Good,No
4RA14IS048,14,female,24,Rural,PUC/Diploma,Degree,Medium,52,44,31,1,No,3,Yes,No,Good,No
4RA14IS049,14,female,23,Urban,Degree,SSLC,Medium,80,70,59,0,Yes,3,Yes,Yes,Poor,Yes
4RA14IS050,14,male,23,Rural,SSLC,PUC/Diploma,Poor,56,59,59,0,No,3,Yes,Yes,Good,Yes
4RA14IS051,14,male,23,Urban,SSLC,PUC/Diploma,Medium,83,82,69,0,No,5,No,Yes,Good,No
4RA14IS052,14,male,23,Urban,PUC/Diploma,Degree,Medium,75,89,79,0,Yes,5,Yes,No,Poor,Yes
4RA14IS053,14,male,23,Rural,PUC/Diploma,PUC/Diploma,Medium,81,89,87,0,Yes,3,Yes,Yes,Good,Yes
4RA14IS054,14,female,23,Urban,Degree,Degree,Medium,73,72,57,0,No,2,No,Yes,Good,No
4RA14IS055,14,female,23,Urban,PUC/Diploma,PUC/Diploma,Medium,43,44,55,0,No,1,Yes,Yes,Good,Yes
4RA14IS056,14,female,23,Rural,Degree,Degree,Rich,48,59,74,0,Yes,2,No,Yes,Good,No
4RA14IS057,14,male,23,Urban,SSLC,Degree,Medium,83,78,70,0,No,4,No,Yes,Good,No
4RA14IS058,14,female,23,Rural,PUC/Diploma,SSLC,Poor,62,72,83,0,No,2,No,Yes,Good,Yes
4RA14IS059,14,female,23,Rural,Degree,PUC/Diploma,Medium,79,69,77,0,Yes,2,No,Yes,Good,Yes
4RA14IS061,14,female,23,Urban,SSLC,PUC/Diploma,Medium,96,86,79,0,No,1,No,No,Good,Yes
4RA14IS062,14,male,23,Rural,PUC/Diploma,SSLC,Medium,92,77,71,0,No,3,No,No,Good,No
4RA14IS063,14,female,23,Rural,SSLC,Degree,Medium,48,50,52,0,Yes,1,No,No,Good,No
4RA14IS064,14,male,24,Rural,SSLC,SSLC,Medium,44,46,31,1,Yes,2,No,No,Good,Yes
4RA14IS065,14,female,23,Rural,PUC/Diploma,SSLC,Medium,38,46,44,0,Yes,2,No,Yes,Good,Yes
4RA14IS066,14,male,23,Urban,PUC/Diploma,SSLC,Poor,71,66,52,0,Yes,3,No,Yes,Good,No
4RA14IS067,14,female,23,Rural,SSLC,PUC/Diploma,Medium,85,83,72,0,No,5,No,Yes,Good,Yes
4RA14IS068,14,female,23,Urban,SSLC,PUC/Diploma,Rich,96,82,73,0,Yes,5,Yes,Yes,Poor,Yes
4RA14IS069,14,female,23,Urban,PUC/Diploma,Degree,Rich,42,55,59,0,No,3,Yes,No,Poor,No
4RA14IS070,14,female,24,Rural,PUC/Diploma,PUC/Diploma,Medium,34,46,49,1,No,1,Yes,No,Poor,No
4RA14IS072,14,male,23,Urban,SSLC,PUC/Diploma,Medium,70,70,55,0,No,3,No,No,Good,No
4RA14IS073,14,female,23,Rural,SSLC,SSLC,Medium,59,59,44,0,No,4,Yes,Yes,Good,No
4RA14IS074,14,female,23,Urban,SSLC,SSLC,Medium,86,80,75,0,No,4,No,Yes,Good,No
4RA14IS075,14,male,24,Urban,SSLC,Degree,Medium,35,26,53,1,Yes,3,No,Yes,Poor,No
4RA14ME001,14,female,23,Rural,Degree,PUC/Diploma,Medium,58,60,55,0,Yes,3,No,No,Good,Yes
4RA14ME002,14,male,23,Urban,SSLC,PUC/Diploma,Poor,62,73,80,0,Yes,1,No,No,Good,Yes
4RA14ME003,14,female,23,Rural,PUC/Diploma,PUC/Diploma,Medium,95,86,81,0,Yes,5,No,Yes,Poor,Yes
4RA14ME004,14,male,23,Rural,SSLC,PUC/Diploma,Poor,95,91,74,0,No,3,Yes,No,Good,Yes
4RA14ME005,14,female,24,Rural,PUC/Diploma,PUC/Diploma,Poor,61,69,59,0,No,5,Yes,Yes,Good,Yes
4RA14ME006,14,male,23,Rural,SSLC,PUC/Diploma,Medium,88,84,69,0,No,2,No,No,Good,No
4RA14ME007,14,female,23,Urban,Degree,PUC/Diploma,Poor,61,57,65,0,Yes,1,No,No,Good,No
4RA14ME008,14,female,23,Rural,Degree,PUC/Diploma,Medium,42,42,36,0,Yes,4,Yes,Yes,Good,No
4RA14ME009,14,female,23,Rural,SSLC,PUC/Diploma,Poor,49,62,65,0,No,1,No,No,Good,Yes
4RA14ME010,14,female,23,Rural,PUC/Diploma,SSLC,Medium,36,43,49,0,No,3,Yes,No,Good,Yes
4RA14ME011,14,male,25,Rural,SSLC,PUC/Diploma,Medium,35,27,26,2,Yes,2,Yes,No,Good,No
4RA14ME012,14,male,24,Urban,PUC/Diploma,SSLC,Poor,42,31,50,1,No,2,No,Yes,Good,No
4RA14ME013,14,male,25,Urban,SSLC,Degree,Medium,38,33,33,2,Yes,5,No,Yes,Good,No
4RA14ME014,14,female,23,Rural,SSLC,Degree,Medium,43,37,45,0,Yes,1,Yes,No,Good,No
4RA14ME015,14,female,24,Rural,Degree,PUC/Diploma,Medium,44,29,55,1,No,2,No,Yes,Good,No
4RA14ME016,14,male,23,Urban,PUC/Diploma,Degree,Medium,94,90,80,0,Yes,4,Yes,No,Good,Yes
4RA14ME017,14,male,23,Urban,Degree,PUC/Diploma,Medium,55,58,73,0,No,3,No,No,Good,Yes
4RA14ME018,14,male,23,Rural,SSLC,PUC/Diploma,Medium,86,82,70,0,Yes,5,No,Yes,Good,No
4RA14ME019,14,male,23,Urban,SSLC,Degree,Poor,50,39,54,0,Yes,4,No,No,Poor,No
4RA14ME020,14,male,23,Urban,Degree,Degree,Poor,52,49,43,0,Yes,1,Yes,No,Poor,No
4RA14ME021,14,female,24,Rural,SSLC,PUC/Diploma,Medium,55,40,32,1,No,1,No,Yes,Poor,Yes
4RA14ME022,14,female,23,Urban,SSLC,PUC/Diploma,Medium,63,73,82,0,No,5,No,Yes,Poor,No
4RA14ME023,14,female,23,Urban,Degree,PUC/Diploma,Medium,75,71,64,0,Yes,5,No,No,Poor,Yes
4RA14ME025,14,female,22,Urban,SSLC,SSLC,Medium,54,48,44,0,Yes,2,Yes,No,Poor,No
4RA14ME026,14,male,25,Urban,PUC/Diploma,Degree,Poor,44,31,32,2,Yes,2,No,No,Good,Yes
4RA14ME027,14,male,23,Rural,SSLC,SSLC,Medium,58,56,48,0,Yes,3,No,No,Good,No
4RA14ME028,14,male,23,Rural,PUC/Diploma,PUC/Diploma,Medium,79,77,82,0,Yes,4,No,No,Good,No
4RA14ME029,14,female,23,Rural,SSLC,Degree,Medium,47,53,67,0,No,1,No,Yes,Good,Yes
4RA14ME030,14,male,23,Urban,SSLC,PUC/Diploma,Medium,44,59,46,0,Yes,2,Yes,No,Poor,No
4RA14ME031,14,male,25,Rural,PUC/Diploma,SSLC,Poor,45,30,27,2,Yes,5,No,No,Good,Yes
4RA14ME032,14,female,23,Urban,PUC/Diploma,SSLC,Medium,76,64,59,0,Yes,2,Yes,No,Poor,Yes
4RA14ME033,14,female,23,Urban,SSLC,PUC/Diploma,Medium,58,57,68,0,No,3,No,Yes,Good,Yes
4RA14ME034,14,female,23,Urban,SSLC,SSLC,Poor,89,85,81,0,Yes,2,Yes,No,Good,Yes
4RA14ME035,14,male,23,Rural,PUC/Diploma,PUC/Diploma,Medium,81,74,71,0,No,3,Yes,Yes,Good,No
4RA14ME036,14,female,24,Urban,PUC/Diploma,SSLC,Medium,45,32,43,1,Yes,3,No,Yes,Good,No
4RA14ME037,14,female,23,Urban,SSLC,Degree,Medium,92,91,83,0,Yes,3,No,No,Good,Yes
4RA14ME038,14,male,23,Rural,SSLC,SSLC,Medium,55,53,54,0,No,1,No,No,Good,Yes
4RA14ME039,14,female,23,Rural,Degree,Degree,Poor,45,56,66,0,No,1,Yes,No,Good,Yes
4RA14ME040,14,female,23,Rural,SSLC,Degree,Medium,35,46,37,0,No,5,No,Yes,Poor,Yes
4RA14ME041,14,male,23,Rural,PUC/Diploma,SSLC,Medium,90,79,65,0,No,1,No,Yes,Good,Yes
4RA14ME042,14,male,24,Urban,SSLC,Degree,Rich,51,53,44,0,Yes,5,No,Yes,Good,Yes
4RA14ME043,14,female,23,Rural,SSLC,PUC/Diploma,Poor,94,87,81,0,Yes,3,Yes,No,Good,Yes
4RA14ME044,14,male,23,Rural,SSLC,SSLC,Rich,91,79,77,0,No,2,Yes,Yes,Poor,Yes
4RA14ME045,14,female,23,Rural,PUC/Diploma,SSLC,Poor,48,61,50,0,No,3,Yes,Yes,Good,No
4RA14ME046,14,male,23,Rural,SSLC,PUC/Diploma,Poor,69,71,83,0,No,2,Yes,No,Good,No
4RA14ME047,14,female,23,Rural,SSLC,SSLC,Medium,81,79,67,0,Yes,4,No,No,Poor,No
4RA14ME048,14,male,23,Urban,SSLC,PUC/Diploma,Medium,83,68,68,0,Yes,1,Yes,Yes,Poor,No
4RA14ME049,14,female,23,Urban,SSLC,SSLC,Medium,75,78,67,0,No,2,Yes,Yes,Good,Yes
4RA14ME050,14,female,23,Rural,PUC/Diploma,PUC/Diploma,Rich,93,90,75,0,Yes,5,Yes,Yes,Poor,Yes
4RA14ME051,14,male,23,Rural,SSLC,SSLC,Rich,54,43,42,0,Yes,1,No,No,Poor,No
4RA14ME052,14,male,23,Urban,PUC/Diploma,Degree,Medium,35,42,50,0,Yes,2,No,No,Good,No
4RA14ME053,14,female,23,Urban,PUC/Diploma,SSLC,Medium,43,56,41,0,No,5,No,No,Good,No
4RA14ME054,14,male,24,Urban,Degree,SSLC,Medium,54,40,25,1,Yes,3,No,Yes,Good,Yes
4RA14ME055,14,female,23,Rural,PUC/Diploma,SSLC,Rich,60,53,68,0,Yes,3,Yes,No,Good,No
4RA14ME056,14,male,23,Rural,SSLC,PUC/Diploma,Poor,39,35,46,0,No,2,No,Yes,Good,Yes
4RA14ME057,14,male,23,Rural,SSLC,PUC/Diploma,Medium,59,66,57,0,No,2,No,Yes,Good,No
4RA14ME058,14,male,23,Rural,PUC/Diploma,Degree,Medium,79,73,63,0,No,5,No,Yes,Poor,No
4RA14ME059,14,female,23,Rural,SSLC,SSLC,Rich,91,89,76,0,No,1,No,No,Good,Yes
4RA14ME060,14,male,23,Rural,SSLC,PUC/Diploma,Medium,58,49,51,0,No,3,Yes,Yes,Poor,No
4RA14ME061,14,female,23,Rural,SSLC,SSLC,Medium,46,50,63,0,Yes,4,Yes,No,Good,No
4RA14ME063,14,female,23,Urban,SSLC,Degree,Medium,93,88,75,0,No,2,Yes,No,Good,Yes
4RA14ME064,14,male,23,Rural,PUC/Diploma,PUC/Diploma,Rich,87,92,85,0,No,3,Yes,Yes,Good,No
4RA14ME065,14,female,25,Rural,PUC/Diploma,SSLC,Medium,45,32,26,2,Yes,3,Yes,No,Good,Yes
4RA14ME066,14,female,22,Rural,SSLC,PUC/Diploma,Medium,69,61,66,0,No,5,Yes,No,Good,No
4RA14ME067,14,female,23,Urban,SSLC,SSLC,Medium,94,84,82,0,Yes,3,No,No,Good,No
4RA14ME068,14,male,23,Urban,SSLC,PUC/Diploma,Medium,68,60,47,0,Yes,4,No,No,Good,Yes
4RA14ME069,14,female,23,Rural,SSLC,SSLC,Medium,68,58,66,0,Yes,5,No,Yes,Poor,No
4RA14ME070,14,male,23,Urban,SSLC,SSLC,Medium,40,45,46,0,No,5,No,No,Poor,Yes
4RA14ME071,14,male,23,Rural,SSLC,SSLC,Medium,40,36,36,0,No,4,Yes,No,Good,No
4RA14ME072,14,male,23,Rural,SSLC,PUC/Diploma,Poor,75,85,80,0,No,4,No,No,Poor,Yes
4RA14ME073,14,female,23,Urban,PUC/Diploma,PUC/Diploma,Rich,85,82,77,0,Yes,2,Yes,No,Poor,Yes
4RA14ME074,14,female,23,Rural,PUC/Diploma,SSLC,Rich,87,80,73,0,No,1,No,No,Good,No
4RA14ME075,14,male,23,Urban,Degree,PUC/Diploma,Poor,62,57,46,0,Yes,5,Yes,No,Good,No
4RA15CS001,15,male,22,Rural,Degree,SSLC,Medium,85,81,82,0,Yes,4,No,No,Good,Yes
4RA15CS002,15,female,22,Urban,SSLC,PUC/Diploma,Medium,48,46,48,0,Yes,1,Yes,No,Poor,Yes
4RA15CS003,15,male,24,Rural,SSLC,PUC/Diploma,Medium,33,27,52,2,No,2,No,No,Good,Yes
4RA15CS004,15,female,22,Urban,Degree,SSLC,Medium,60,56,41,0,Yes,5,Yes,Yes,Good,No
4RA15CS005,15,female,22,Urban,SSLC,PUC/Diploma,Rich,87,83,74,0,Yes,5,Yes,No,Poor,Yes
4RA15CS006,15,female,24,Urban,Degree,PUC/Diploma,Medium,46,32,31,2,No,5,Yes,Yes,Poor,No
4RA15CS008,15,female,23,Urban,Degree,SSLC,Medium,43,34,54,1,Yes,1,No,No,Good,No
4RA15CS009,15,female,23,Urban,PUC/Diploma,PUC/Diploma,Rich,48,36,23,1,Yes,2,No,Yes,Good,Yes
4RA15CS010,15,female,22,Rural,SSLC,PUC/Diploma,Poor,66,52,41,0,No,2,No,No,Good,No
4RA15CS011,15,male,23,Urban,PUC/Diploma,SSLC,Medium,64,59,51,0,Yes,1,No,No,Poor,Yes
4RA15CS012,15,male,22,Urban,SSLC,PUC/Diploma,Medium,95,88,81,0,No,3,Yes,No,Poor,No
4RA15CS013,15,female,24,Rural,PUC/Diploma,PUC/Diploma,Poor,34,25,38,2,No,1,No,Yes,Good,Yes
4RA15CS014,15,female,22,Urban,PUC/Diploma,PUC/Diploma,Medium,59,50,37,0,No,2,No,Yes,Good,No
4RA15CS015,15,female,22,Urban,PUC/Diploma,PUC/Diploma,Medium,65,50,56,0,No,1,Yes,Yes,Good,No
4RA15CS016,15,male,22,Urban,SSLC,SSLC,Rich,94,79,68,0,No,2,No,Yes,Good,No
4RA15CS017,15,female,22,Rural,Degree,PUC/Diploma,Medium,43,48,36,0,Yes,2,No,No,Good,Yes
4RA15CS018,15,female,23,Urban,PUC/Diploma,SSLC,Medium,59,71,69,0,Yes,2,Yes,Yes,Good,No
4RA15CS019,15,male,22,Rural,SSLC,SSLC,Medium,68,75,74,0,Yes,2,Yes,No,Good,Yes
4RA15CS020,15,male,22,Urban,Degree,SSLC,Medium,79,65,76,0,No,4,No,Yes,Good,Yes
4RA15CS021,15,male,22,Urban,PUC/Diploma,SSLC,Medium,45,50,56,0,Yes,1,Yes,Yes,Good,No
4RA15CS022,15,male,22,Rural,SSLC,PUC/Diploma,Medium,43,47,56,0,Yes,3,No,No,Poor,Yes
4RA15CS023,15,female,23,Urban,PUC/Diploma,SSLC,Medium,39,32,48,1,Yes,2,No,Yes,Poor,No
4RA15CS024,15,male,22,Rural,SSLC,PUC/Diploma,Rich,62,48,61,0,No,3,No,No,Good,Yes
4RA15CS025,15,female,22,Urban,PUC/Diploma,PUC/Diploma,Medium,76,85,83,0,No,3,No,No,Good,Yes
4RA15CS026,15,male,22,Urban,SSLC,PUC/Diploma,Rich,49,61,58,0,No,3,No,No,Good,No
4RA15CS027,15,male,24,Urban,SSLC,SSLC,Medium,34,28,39,2,No,3,No,Yes,Good,No
4RA15CS028,15,female,22,Rural,SSLC,SSLC,Medium,49,48,52,0,Yes,5,Yes,Yes,Good,No
4RA15CS029,15,female,22,Rural,SSLC,PUC/Diploma,Poor,82,67,66,0,No,2,No,No,Good,Yes
4RA15CS030,15,male,22,Rural,SSLC,SSLC,Rich,53,54,62,0,No,5,Yes,Yes,Poor,No
4RA15CS031,15,female,22,Rural,PUC/Diploma,SSLC,Medium,83,70,73,0,No,4,Yes,No,Good,Yes
4RA15CS032,15,male,22,Rural,SSLC,SSLC,Poor,69,57,42,0,No,2,Yes,Yes,Good,No
4RA15CS033,15,female,22,Rural,SSLC,PUC/Diploma,Rich,85,82,77,0,Yes,4,Yes,No,Good,Yes
4RA15CS034,15,female,23,Urban,Degree,PUC/Diploma,Medium,44,36,33,1,No,4,Yes,No,Good,No
4RA15CS035,15,male,22,Urban,SSLC,SSLC,Poor,53,55,46,0,No,5,No,No,Good,No
4RA15CS036,15,male,21,Urban,SSLC,PUC/Diploma,Poor,65,54,45,0,No,4,No,Yes,Good,No
4RA15CS037,15,female,23,Urban,SSLC,PUC/Diploma,Medium,45,33,39,1,Yes,5,No,Yes,Good,Yes
4RA15CS038,15,female,22,Rural,PUC/Diploma,PUC/Diploma,Medium,90,86,86,0,Yes,4,Yes,Yes,Good,No
4RA15CS039,15,female,22,Rural,Degree,PUC/Diploma,Poor,61,75,70,0,Yes,3,No,Yes,Poor,Yes
4RA15CS040,15,male,22,Rural,SSLC,PUC/Diploma,Medium,62,56,52,0,No,3,No,Yes,Good,No
4RA15CS041,15,female,23,Urban,SSLC,PUC/Diploma,Medium,38,44,32,1,No,3,No,Yes,Good,No
4RA15CS042,15,female,22,Urban,SSLC,PUC/Diploma,Rich,51,53,44,0,Yes,2,Yes,Yes,Good,No
4RA15CS043,15,female,23,Urban,Degree,SSLC,Medium,42,29,40,1,Yes,1,No,Yes,Good,Yes
4RA15CS044,15,female,22,Urban,Degree,PUC/Diploma,Medium,77,63,77,0,No,4,Yes,Yes,Good,Yes
4RA15CS045,15,male,22,Urban,SSLC,SSLC,Medium,68,71,73,0,Yes,3,No,No,Good,Yes
